date,close,open,high,low
2018-01-08 02:00:00,16035.465620026269,15847.866112393416,16100.120395004778,15827.197912571532
2018-01-08 03:00:00,15669.0369793787,16029.557043771349,16031.7683265079,15514.401530621808
2018-01-08 04:00:00,15639.808100153448,15631.372721354584,15840.690974734363,15509.47510178363
2018-01-08 05:00:00,15768.933600982473,15639.091482705588,15901.149270827224,15474.539464811214
2018-01-08 06:00:00,15754.575271512109,15768.837633541709,15829.482590148971,15637.723578070489
2018-01-08 07:00:00,15864.090771752491,15750.480932028657,15921.593595764116,15750.470987133398
2018-01-08 08:00:00,15474.308962448658,15862.700926498692,15867.628632420814,15352.857227127375
2018-01-08 09:00:00,14648.72472275664,15470.136200897869,15519.7632945921,14615.446227415168
2018-01-08 10:00:00,15181.01170482269,14645.78713889114,15181.311071493574,14544.348749366807
2018-01-08 11:00:00,15398.376073021152,15181.146144208436,15468.484764837029,15155.627460044194
2018-01-08 12:00:00,15345.296325658055,15411.37248686121,15499.016850677424,15227.461674847826
2018-01-08 13:00:00,14606.090324801586,15341.943554616226,15461.488971446031,14437.978176007648
2018-01-08 14:00:00,13490.057774614366,14656.331732810462,14689.0671943603,13141.257248068558
2018-01-08 15:00:00,14295.809949362085,13490.04583140902,14693.711870238854,12805.519467147004
2018-01-08 16:00:00,14842.416323294856,14285.146640350787,14976.521523258289,14226.686823933069
2018-01-08 17:00:00,14700.666081367408,14820.70685935774,14933.373745966332,14339.95611387056
2018-01-08 18:00:00,14898.444526369052,14740.580847762736,15102.31765569456,14579.31518018003
2018-01-08 19:00:00,15196.596318695683,14901.34257088934,15247.352420920428,14781.1577403057
2018-01-08 20:00:00,14899.910757394136,15196.060746927353,15272.168901129806,14526.956284023498
2018-01-08 21:00:00,14894.98615501026,14900.572621009716,15103.088836092087,14757.649475883769
2018-01-08 22:00:00,14580.083287013114,14891.637866458062,14923.064962082535,14480.824158417829
2018-01-08 23:00:00,14904.695539536422,14563.39859370719,15003.016408211695,14393.543409639977
2018-01-09 00:00:00,15244.393447767938,14904.337255927168,15288.789643024782,14811.485047640475
2018-01-09 01:00:00,15240.719564652116,15244.67889193722,15319.833945792076,14702.658292044722
2018-01-09 02:00:00,15214.64701430472,15243.214574220605,15310.610610304797,15068.280660074592
2018-01-09 03:00:00,15210.1234493321,15221.434282983031,15499.932592776022,15053.577262397952
2018-01-09 04:00:00,15347.76301892624,15187.078689467602,15401.923942059157,15111.842641920428
2018-01-09 05:00:00,14880.680963059778,15350.589428807842,15363.535309413935,14671.206124347604
2018-01-09 06:00:00,14848.235330567251,14886.905704331984,14997.90685239444,14604.535177201382
2018-01-09 07:00:00,15061.12560735916,14847.731029426524,15153.656573246586,14835.41485088779
2018-01-09 08:00:00,15187.491823945322,15060.572043830658,15304.65984424044,14988.234028870307
2018-01-09 09:00:00,14813.6151050064,15190.706074503636,15200.859734142554,14763.58605694693
2018-01-09 10:00:00,14497.462890926909,14804.17067007694,14818.660772094709,14168.69933079704
2018-01-09 11:00:00,14725.861236839077,14498.187405992516,14800.983406795607,14381.21078443226
2018-01-09 12:00:00,14659.445593614975,14727.268836369863,14832.533080038502,14401.144078167314
2018-01-09 13:00:00,14040.2413659374,14650.443150461237,14701.449910176883,14010.574495315244
2018-01-09 14:00:00,14558.417680683391,14071.976241584383,14639.293272061335,14059.747919396368
2018-01-09 15:00:00,14655.901539674647,14548.728375299715,14803.28490930847,14482.832294995203
2018-01-09 16:00:00,14946.04000788274,14656.866721289867,15008.1110689807,14582.212178531565
2018-01-09 17:00:00,14952.428516945163,14968.734442067976,14984.116111902902,14777.36890184407
2018-01-09 18:00:00,14805.183999139032,14953.287391576629,14992.28938042543,14798.80050058023
2018-01-09 19:00:00,14723.048037461564,14807.420514391612,14866.13789059578,14632.423762955845
2018-01-09 20:00:00,14754.501860295852,14717.24608407184,14861.807076730853,14599.55288254346
2018-01-09 21:00:00,14464.638133325698,14753.736831468092,14782.816257118722,14420.601763184524
2018-01-09 22:00:00,14256.074304385662,14452.485060684,14537.473243261687,14184.00410100014
2018-01-09 23:00:00,14401.311160722826,14236.219460159937,14456.002240358805,14124.862544124242
2018-01-10 00:00:00,13990.122738579188,14403.57179318496,14481.906865647248,13746.966482496877
2018-01-10 01:00:00,14120.881420574688,13986.4175559963,14329.637353905491,13943.854370370644
2018-01-10 02:00:00,14231.4796496609,14118.849445024403,14302.748481322566,14055.185563251502
2018-01-10 03:00:00,13966.033168560254,14210.881431269305,14301.058554647349,13947.305256131363
2018-01-10 04:00:00,14237.019650785793,13980.233338323616,14323.875018713554,13864.715591749324
2018-01-10 05:00:00,14136.307586513518,14237.159487866016,14253.574013192609,13920.406286385814
2018-01-10 06:00:00,14216.209399859465,14136.472352636236,14347.964376749183,14030.846997594786
2018-01-10 07:00:00,13977.660858677287,14213.005660117182,14260.372591554022,13851.694524583172
2018-01-10 08:00:00,13390.802390910456,13977.37542489528,13977.42442769762,13123.730684469576
2018-01-10 09:00:00,13749.669060652734,13390.723165845224,13871.80564744621,13323.216247343498
2018-01-10 10:00:00,13694.558989175392,13747.446998518257,13881.72675843842,13482.37889778214
2018-01-10 11:00:00,13923.04924777262,13737.465596531529,14130.0443935133,13642.833222990364
2018-01-10 12:00:00,13760.38524371691,13922.553668001065,13967.889412833309,13709.37458596411
2018-01-10 13:00:00,13859.20024712846,13758.671525166634,14095.060838522551,13637.156941082738
2018-01-10 14:00:00,13628.640650736546,13813.256603263795,13938.755436801905,13498.9105541477
2018-01-10 15:00:00,14383.8028310787,13597.759516771795,14481.882154085675,13581.796987369711
2018-01-10 16:00:00,14405.817857295193,14383.141976275974,14693.06698034614,14339.126257659816
2018-01-10 17:00:00,14565.603184468711,14416.78472798022,14597.08804858938,14266.70586225964
2018-01-10 18:00:00,14543.484161857248,14549.189488098751,14736.460484831245,14377.8926691216
2018-01-10 19:00:00,14348.073100599566,14544.098821380252,14549.243215753966,14173.068288724982
2018-01-10 20:00:00,14480.292947483513,14347.538711729248,14539.812484026605,14237.844293639328
